die Kalibrationsphase in der die Funktion | die Kalibrationsphase, in der die Funktion | de/2051_Neuroimplantat
In manche Regionen gibt es Kraftwerkszentren | In manchen Regionen gibt es Kraftwerkszentren | de/2101_Fusion
die dann Webeblocker umgeht | die dann Werbeblocker umgeht | de/2115_LifeTheme
Der Designer dient dazu, Organismen zusammenstellen. | Der Designer dient dazu, Organismen zusammenzustellen. | de/2128_Darwin
Dabei erfährt man welche Gene und Eigenschaften gerade gebaut werden. | Dabei erfährt man, welche Gene und Eigenschaften gerade gebaut werden. | de/2128_Darwin
stellen daraus DNA-treue Fingerabrücke her | stellen daraus DNA-treue Fingerabdrücke her | de/2128_Darwin
wie bei einer Sonnenfinsterns | wie bei einer Sonnenfinsternis | de/2135_Scale
reagiert immer so langsam, also ob er überlastet ist | reagiert immer so langsam, als ob er überlastet ist | de/2135_Scale
und eine biologisches Forschungslabor sind jeweils mit 25 Personen besetzt | und ein biologisches Forschungslabor sind jeweils mit 25 Personen besetzt | de/2136_1000_in_Space
in den vergangen 200 Jahren stark reduziert | in den vergangenen 200 Jahren stark reduziert | de/2141_Big5
Der Bau von Gemini begann 25 Jahre vorher als sich einige | Der Bau von Gemini begann 25 Jahre vorher, als sich einige | de/2154_Gemini
aber auch Spurenelemente und Seltenen Erden, sowie essenzielle | aber auch Spurenelemente und Seltene Erden, sowie essenzielle | de/2154_Gemini
der eine irdische Gartenlandschaft nachbildet sollte | der eine irdische Gartenlandschaft nachbilden sollte | de/2154_Gemini
ein unvergessliches Ereignis und einem Zeichen für den Fortschritt | ein unvergessliches Ereignis und ein Zeichen für den Fortschritt | de/2154_Gemini
birgt das kommerzielle Unterfangen wirtschaftlichen Risiken | birgt das kommerzielle Unterfangen wirtschaftliche Risiken | de/2155_AsteroidMining
Die Hälfte der gestrandeten Besatzung wir gerettet. | Die Hälfte der gestrandeten Besatzung wird gerettet. | de/2158_SpacePatrol
schon früh auf 0G-Kampfttaktik und -technik spezialisiert | schon früh auf 0G-Kampftaktik und -technik spezialisiert | de/2158_SpacePatrol
sehr beschränkt was den Energiebedarf | sehr beschränkt, was den Energiebedarf | de/2162_NanoWars
wird jährliche abgehalten | wird jährlich abgehalten | de/2165_Yksitis
bekam neuen Raum als die Durchsetzungsfähigkeit | bekam neuen Raum, als die Durchsetzungsfähigkeit | de/2165_Yksitis
Verhaltensweisen aus, mit der eine ganze Generation | Verhaltensweisen aus, mit denen eine ganze Generation | de/2165_Yksitis
ein Geflecht dessen Fäden | ein Geflecht, dessen Fäden | de/2168_Udyama
Flussröhren entstehen in denen geladenen Teilchen sehr lang | Flussröhren entstehen, in denen geladene Teilchen sehr lang | de/2171_Pandora_Artefakt
neutronenfreien Fusionsrektoren | neutronenfreien Fusionsreaktoren | de/2171_Pandora_Artefakt
L4/L5-Konstuktionen | L4/L5-Konstruktionen | de/2174_Goldregen
sehr empfindlichen optischen Teleskope vor Sonnenlicht | die sehr empfindlichen optische Teleskope vor Sonnenlicht | de/2179_ServizioStazione
über Million Kilometer | über Millionen Kilometer | de/2179_ServizioStazione
Die Mitte des 22. Jahrhunderts steigt der interplanetare Verkehr | Mitte des 22. Jahrhunderts steigt der interplanetare Verkehr | de/2179_ServizioStazione
in einer Zeit auf in der nicht nur | in einer Zeit auf, in der nicht nur | de/2179_ServizioStazione
zum Erde-Mond System ein Vielfaches | zum Erde-Mond-System ein Vielfaches | de/2179_ServizioStazione
auf natürliche Weise wachen zu lassen | auf natürliche Weise wachsen zu lassen | de/2181_Skotaphyll
von realen Problemen und ab. | von realen Problemen abzulenken. | de/2182_EndVenusTerraforming
des Terraforming-Projekt lenkte | des Terraforming-Projekts lenkte | de/2182_EndVenusTerraforming
Die Reste des Venusprojekt sind | Die Reste des Venusprojekts sind | de/2182_EndVenusTerraforming
Hohen Verluste unter den Arbeitern | Hohe Verluste unter den Arbeitern | de/2187_MoonDeportations
erste Pilotprogramme bei denen Strafgefangenen | erste Pilotprogramme, bei denen Strafgefangenen | de/2187_MoonDeportations
in Eismienen arbeiten | in Eisminen arbeiten | de/2187_MoonDeportations
Es dauert weitere sechs Wochen bis eine kurze Überprüfung | Es dauert weitere sechs Wochen, bis eine kurze Überprüfung | de/2190_KopernikusStation
die obwohl von 2230 bis 2232 auf Eis gelegt, sogar | die, obwohl von 2230 bis 2232 auf Eis gelegt, sogar | de/2190_KopernikusStation
die dies versuchen sind nicht wettbewerbsfähig | die dies versuchen, sind nicht wettbewerbsfähig | de/2191_Asteroidenbergbau
200 Jahren nach den ersten unbeholfenen Schritten | 200 Jahre nach den ersten unbeholfenen Schritten | de/2191_Asteroidenbergbau
von ökologischen- und sozioökonomischen Herausforderungen | von ökologischen und sozioökonomischen Herausforderungen | de/2192_NeosozTerror
mit dem zusätzlichen Idee | mit der zusätzlichen Idee | de/2192_NeosozTerror
friedliche Proteste und gewaltsamen Demonstrationen | friedliche Proteste und gewaltsame Demonstrationen | de/2192_NeosozTerror
eine der wichtigsten Stratosphären-Startplattforme: | eine der wichtigsten Stratosphären-Startplattformen: | de/2192_NeosozTerror
einem Druckabfall bei dem hunderte Bewohner | einem Druckabfall, bei dem hunderte Bewohner | de/2192_NeosozTerror
muss sie ihre Karriere beendeten | muss sie ihre Karriere beenden | de/2192_NeosozTerror
kann sich die Bewegung nie in der globalen Politik durchzusetzen | kann sich die Bewegung nie in der globalen Politik durchsetzen | de/2192_NeosozTerror
kann schließlich die Weltfreundschaftsdiktatur stürzten | kann schließlich die Weltfreundschaftsdiktatur stürzen | de/2192_NeosozTerror
eine gespaltene Gesellschaft an dem sich die Spannungen entluden | eine gespaltene Gesellschaft, an dem sich die Spannungen entluden | de/2192_NeosozTerror
ohne wirkliche den Lauf der Geschichte zu ändern | ohne wirklich den Lauf der Geschichte zu ändern | de/2192_NeosozTerror
Sie fangen den Konvois ab | Sie fangen den Konvoi ab | de/2197_Mondaufstand
im entscheidenden Moment als die Space Force | im entscheidenden Moment, als die Space Force | de/2197_Mondaufstand
ein belebtes Einkaufszentrum in dem gerade | ein belebtes Einkaufszentrum, in dem gerade | de/2199_Dubai
eine eindringliche Mahnung wieviel Chaos | eine eindringliche Mahnung, wieviel Chaos | de/2205_PalladischeLiga
brachten die Häftlinge wichtige Einrichtungen unter ihre Kontrolle übernahmen, darunter | brachten die Häftlinge wichtige Einrichtungen unter ihre Kontrolle, darunter | de/2205_PalladischeLiga
die Material für Spektralanalysen aus der Ferne aufzuwirbeln | die Material für Spektralanalysen aus der Ferne aufwirbeln | de/2205_PalladischeLiga
ein führendes Telekommunikationsunternehmen finanzierte ihm | ein führendes Telekommunikationsunternehmen, finanzierte ihm | de/2205_PalladischeLiga
um dann schnell ihren Claim abzustecken zu können | um dann schnell ihren Claim abstecken zu können | de/2205_PalladischeLiga
einer inneren Sonnenbahn Allen im Solsystem klar | einer inneren Sonnenbahn allen im Solsystem klar | de/2205_PalladischeLiga
ohne, dass die Regierungen Erde sich dagegen wehren können | ohne, dass die Regierungen der Erde sich dagegen wehren können | de/2205_PalladischeLiga
der Universität Chittagong in der sich junge Individuen | der Universität Chittagong, in der sich junge Individuen | de/2208_Oktopus
als auch in Gefangenschaft wird als Zeichen für Intelligenz angesehen | als auch in Gefangenschaft, wird als Zeichen für Intelligenz angesehen | de/2208_Oktopus
das Rückgrat der Mondbergbaus | das Rückgrat des Mondbergbaus | de/2209_Dekompression
war das Notfall-Dekompressionssystems | war das Notfall-Dekompressionssystem | de/2209_Dekompression
PHASAT zeigt eine strahlenabweisende-Beschichtung | PHASAT zeigt eine strahlenabweisende Beschichtung | de/2222_GuertelPiraten
Sie könnten natürliche eine falsche Kennung senden | Sie könnten natürlich eine falsche Kennung senden | de/2222_GuertelPiraten
nur eine kleine Wahrscheinlich dafür | nur eine kleine Wahrscheinlichkeit dafür | de/2222_GuertelPiraten
Missionsstatusbericht)". | Missionsstatusbericht). | de/2222_GuertelPiraten
nicht auf elektrischen Strom basieren | nicht auf elektrischem Strom basieren | de/2229_Der_energetische_Hohlleiter_wi
von Silent Runnings entsteht | von Silent Running entsteht | de/2231_VertragVonVegas
Kommentatoren für sozialer Dynamik | Kommentatoren für soziale Dynamik | de/2231_VertragVonVegas
sind einen Missbrauch biotechnischer Neuroimplantate | sind ein Missbrauch biotechnischer Neuroimplantate | de/2234_SpaceStationLifeCycle
die sensorische Erlebnisse in Echtzeit aufzuzeichnen und übertragen | die sensorische Erlebnisse in Echtzeit aufzeichnen und übertragen | de/2234_SpaceStationLifeCycle
liefen verstärke Anstrengungen | liefen verstärkte Anstrengungen | de/2236_Eine_atomare_Explosion_zerstör
in den vergangen 200 Jahren | in den vergangenen 200 Jahren | de/2239_Big5
Die Experimente wurden im Weltraum durchführt | Die Experimente wurden im Weltraum durchgeführt | de/2248_GeminiDisaster
des Geschäftsbetriebs einer riesigen lebendigen Weltraumhabitats wie Gemini | des Geschäftsbetriebs eines riesigen lebendigen Weltraumhabitats wie Gemini | de/2248_GeminiDisaster
Dieser Entscheidung wurde allein aus wirtschaftlichen Erwägungen getroffen | Diese Entscheidung wurde allein aus wirtschaftlichen Erwägungen getroffen | de/2248_GeminiDisaster
und der Gravitation negativen Einflüsse ausschließen würde | und der Gravitation negative Einflüsse ausschließen würde | de/2248_GeminiDisaster
ein unvorstellbarerer Größenunterschied | ein unvorstellbarer Größenunterschied | de/2248_GeminiDisaster
Aber nahe gelegenen Massen wirkten trotzdem | Aber nahe gelegene Massen wirkten trotzdem | de/2248_GeminiDisaster
die negative Energie von Vakuumfluktuation deren Paarvernichtung durch CP-Verletzung unterdrückt wird | die negative Energie von Vakuumfluktuation, deren Paarvernichtung durch CP-Verletzung unterdrückt wird | de/2255_GrundarfjördurZilberstein_Theo
Die Verschiebung Raumzeitblasen kann mit isochorer Skalierung fixiert werden | Die Verschiebung der Raumzeitblasen kann mit isochorer Skalierung fixiert werden | de/2255_GrundarfjördurZilberstein_Theo
radikalisiert sich auch Teil der ökologischen Bewegung | radikalisiert sich auch ein Teil der ökologischen Bewegung | de/2265_Oekomil
Elefanten-Schutzgebiet im Amazonas-Grasland in dem Kohlevorkommen ausgebeutet werden sollen | Elefanten-Schutzgebiet im Amazonas-Grasland, in dem Kohlevorkommen ausgebeutet werden sollen | de/2265_Oekomil
durch zivile lokale Organsationen | durch zivile lokale Organisationen | de/2265_Oekomil
die das Abstraktums interpretiert und interpoliert | die das Abstraktum interpretiert und interpoliert | de/2281_Gedankenabstraktum
in Fällen wo Interaktion und Diskussion notwendig sind | in Fällen, wo Interaktion und Diskussion notwendig sind | de/2281_Gedankenabstraktum
die interplanetaren Entwicklung einzustellen | die interplanetare Entwicklung einzustellen | de/2284_Trennung
die Subventionierung der Weltraumprojekten ein | die Subventionierung der Weltraumprojekte ein | de/2284_Trennung
die großen und teuren wissenschaftliche Instrumente | die großen und teuren wissenschaftlichen Instrumente | de/2284_Trennung
geraten interplanetaren Einrichtungen in eine schwierige Lage | geraten interplanetare Einrichtungen in eine schwierige Lage | de/2284_Trennung
Sie muss sich nun an die neue Lage anzupassen. | Sie muss sich nun an die neue Lage anpassen. | de/2284_Trennung
Aber es gibt es auch eine starke Opposition. | Aber es gibt auch eine starke Opposition. | de/2284_Trennung
Nach dem Austritt der Erde aus der UPO, brauchen die Raumstationen | Nach dem Austritt der Erde aus der UPO brauchen die Raumstationen | de/2302_SolareKoalition
Habitate, und Basen im Gürtel | Habitate und Basen im Gürtel | de/2302_SolareKoalition
fühlen sich viel Menschen verraten | fühlen sich viele Menschen verraten | de/2303_Putsch_der_Raumhaendler
verlieren den Zugang Märkten und Ressourcen im Orbit | verlieren den Zugang zu Märkten und Ressourcen im Orbit | de/2303_Putsch_der_Raumhaendler
spezialisierten Metamaterialien als Fab-Input | spezialisierte Metamaterialien als Fab-Input | de/2303_Putsch_der_Raumhaendler
Bewegung ohne, dass sich das Objekt im Raum bewegt | Bewegung, ohne dass sich das Objekt im Raum bewegt | de/2307_MetricDrive
des Ganymed-Direktorats gedeckt deren Raum sich teilweise | des Ganymed-Direktorats gedeckt, deren Raum sich teilweise | de/2312_KaioArtefakt
in zig- Millionen Kilometer Entfernung | in zig Millionen Kilometer Entfernung | de/2312_KaioArtefakt
bei vielen interstellare Fraktionen begegnen wird | bei vielen interstellaren Fraktionen begegnen wird | de/2312_KaioArtefakt
Generationen werden durch darauf eingeschworen, die Gesundheit | Generationen werden darauf eingeschworen, die Gesundheit | de/2318_Erdunion
Gaia-Sanierungskomittees | Gaia-Sanierungskomitees | de/2321_EarthIsolation
Indoktrination auf der Erde sind. | Indoktrination auf der Erde ist. | de/2321_EarthIsolation
Folgen an Bord der Streaker, gehen als der | Folgen an Bord der Streaker, geht als der | de/2333_MetricImpulse
transparenter Streben an denen elektromagnetische Nahfeldprojektoren befestigt, die die Bewegung | transparenter Streben, an denen elektromagnetische Nahfeldprojektoren befestigt sind, die die Bewegung | de/2359_Vegas
ging der Großteil der interplanetaren Handelsverkehrs vom erdnahen Raum aus | ging der Großteil des interplanetaren Handelsverkehrs vom erdnahen Raum aus | de/2366_TransorbitalerAusgleich
nachdem sich die interplanetaren Wirtschaft vom Verlust der Erde als Handelspartner erholt hatte | nachdem sich die interplanetare Wirtschaft vom Verlust der Erde als Handelspartner erholt hatte | de/2366_TransorbitalerAusgleich
Wir mussten nicht mehr in Angst vor den Planetenpositionen zu leben. | Wir mussten nicht mehr in Angst vor den Planetenpositionen leben. | de/2366_TransorbitalerAusgleich
bemerkte Oluwaseyi beim Börsengang ihres Frachterflotte | bemerkte Oluwaseyi beim Börsengang ihrer Frachterflotte | de/2366_TransorbitalerAusgleich
Durch Ihre Analysen konnte sie nachweisen | Durch ihre Analysen konnte sie nachweisen | de/2366_TransorbitalerAusgleich
ein ehemaliger Dockarbeiter von Sdinhavn dominiert seit zehn Jahren | ein ehemaliger Dockarbeiter von Sdinhavn, dominiert seit zehn Jahren | de/2369_MabesiKrise_Schwere_soziale_un
des Morgenthau-Sektors, wäh-rend der Konvent | des Morgenthau-Sektors, während der Konvent | de/2375_Beim_Bruch_der_Hsjuang_Station
Daraufhin gerät die ge-samte Station in Schwingungen. | Daraufhin gerät die gesamte Station in Schwingungen. | de/2375_Beim_Bruch_der_Hsjuang_Station
effektiv keine Schwin-gungsdämpfung mehr gegeben war | effektiv keine Schwingungsdämpfung mehr gegeben war | de/2375_Beim_Bruch_der_Hsjuang_Station
Abgeschnitten von der feudal organi-sierten Energieversorgung | Abgeschnitten von der feudal organisierten Energieversorgung | de/2375_Beim_Bruch_der_Hsjuang_Station
wenn der Verurteile mit seinem Vermögen | wenn der Verurteilte mit seinem Vermögen | de/2389_Biostasis
durch ihre Neuroimplanatate geschützt | durch ihre Neuroimplantate geschützt | de/2392_Schmerzen
herbeigeführte Apathische Analgesie | herbeigeführte apathische Analgesie | de/2392_Schmerzen
sowieso eher als das sie hilft | sowieso eher als dass sie hilft | de/2403_Savant
Es gibt Eis-Vulkane aus denen in der Vergangenheit | Es gibt Eis-Vulkane, aus denen in der Vergangenheit | de/2412_Planet9
die einzige Möglichkeit physische Dinge auszutauschen | die einzige Möglichkeit, physische Dinge auszutauschen | de/2445_ScumFestival
tief in interstellaren Raum | tief im interstellaren Raum | de/2458_Egalitaetsflug
den Bereich von Gigatonnen mit dem man | den Bereich von Gigatonnen, mit dem man | de/2458_Egalitaetsflug
im inneren Sonnensystem auf bis auf 3% | im inneren Sonnensystem auf bis zu 3% | de/2458_Egalitaetsflug
auf einem guten Weg als Systemkrieg | auf einem guten Weg, als Systemkrieg | de/2460_Turnaround
Der 60 Kilometer große Asteroid auf dem sich Newplace befand | Der 60 Kilometer große Asteroid, auf dem sich Newplace befand | de/2463_Aufdeckung_der_NewplaceVerschw
um den Antrieb bei Bedarf reparieren können | um den Antrieb bei Bedarf reparieren zu können | de/2466_Auswanderer
Fortschritte in den Wissenschaften deren Auswirkungen | Fortschritte in den Wissenschaften, deren Auswirkungen | de/2469_Tranquility500
Es gab Kriege, Krisen, und Katastrophen. | Es gab Kriege, Krisen und Katastrophen. | de/2469_Tranquility500
wird von Ciudad Nueva Mesilla einem Moscona-Bubble-Floß angegriffen | wird von Ciudad Nueva Mesilla, einem Moscona-Bubble-Floß, angegriffen | de/2471_FashionWar
Amdistas versuchen die Zyklen zu durchbrechen. | Amadistas versuchen die Zyklen zu durchbrechen. | de/2471_FashionWar
Autofabs mit denen im Zielsystem | Autofabs, mit denen im Zielsystem | de/2484_Die_ehemalige_Führung_der_Pall
nur für öffentliche bekannte Aktivitäten | nur für öffentlich bekannte Aktivitäten | de/2487_Adic
Die Explosion sollte ein anderes Verbrechen zu vertuschen. | Die Explosion sollte ein anderes Verbrechen vertuschen. | de/2495_Jamaliya
Sie wurde 15 Jahren zuvor gegründet | Sie wurde 15 Jahre zuvor gegründet | de/2497_Dilan
die Leiterin der Außenabteilung wird vom Koalitionsrat | die Leiterin der Außenabteilung, wird vom Koalitionsrat | de/2497_Dilan
das eine Alien-Zivilisationen in der Umgebung besucht | das eine Alien-Zivilisation in der Umgebung besucht | de/2511_MarcoPoloDilan
kommunizieren durch Gesten für welche Geräte sie sich interessieren | kommunizieren durch Gesten, für welche Geräte sie sich interessieren | de/2511_MarcoPoloDilan
eine großangelegte Suchak-tion | eine großangelegte Suchaktion | de/2525_Die_Marco_Polo_kehrt_von_ihrem
Auf dessen Monden gibt es automatische betriebene Rohstoffgewinnung | Auf dessen Monden gibt es automatisch betriebene Rohstoffgewinnung | de/2532_DilanWipe
wollen sich an den Anzügen des Einsatzkommandos festzusetzen | wollen sich an den Anzügen des Einsatzkommandos festsetzen | de/2532_DilanWipe
haben sie die Mittel, um sich wehren | haben sie die Mittel, um sich zu wehren | de/2532_DilanWipe
Proteus (Neptun) and Ariel, Oberon, Sycorax | Proteus (Neptun) und Ariel, Oberon, Sycorax | de/2532_DilanWipe
von Dilan starteten als das lichtschnelle Signal | von Dilan starteten, als das lichtschnelle Signal | de/2532_DilanWipe
für Neptun und Uranus zeigt nach Meinung der Erde | für Neptun und Uranus zeigen nach Meinung der Erde | de/2533_Die_Erde_rüstet_auf
ist jedes Jahr mindestens einen Versorgungsflug geplant | ist jedes Jahr mindestens ein Versorgungsflug geplant | de/2535_Cobol1
und ein sogenannten kleines Massenaussterben | und ein sogenanntes kleines Massenaussterben | de/2536_Kollisionskurs
der einen eindeutiger Verstoß gegen die Friedenskonvention von 2330 war | der ein eindeutiger Verstoß gegen die Friedenskonvention von 2330 war | de/2550_Systemkrieg
Die Koalition is expansionistisch | Die Koalition ist expansionistisch | de/2557_Wladiwostok
Jeder einzige kann riesige Schäden anrichten | Jeder einzelne kann riesige Schäden anrichten | de/2557_Wladiwostok
zu den lokalen Widerstandsnetzwerken aufbauen | zu den lokalen Widerstandsnetzwerken aufzubauen | de/2557_Wladiwostok
das sogenannten IEA | das sogenannte IEA | de/2560_Exotechnologie
Aber manche der Naturgesetzte sind den Menschen | Aber manche der Naturgesetze sind den Menschen | de/2560_Exotechnologie
Austausch von gewonnen Informationen zwischen den Instituten | Austausch von gewonnenen Informationen zwischen den Instituten | de/2560_Exotechnologie
den Tauneunjot eine Hyperparallel-KI | den Tauneunjot, eine Hyperparallel-KI | de/2560_Exotechnologie
des interstellaren Herrschaftsbereichs von Artu zu dem das Solsystem gehört | des interstellaren Herrschaftsbereichs von Artu, zu dem das Solsystem gehört | de/2574_ArtuDomaene
Ihre Schiffe brauchen nur wenige Tage bis zum Solsystem während solare Schiffe fast drei Jahre unterwegs wären. | Ihre Schiffe brauchen nur wenige Tage bis zum Solsystem, während solare Schiffe fast drei Jahre unterwegs wären. | de/2574_ArtuDomaene
sogenannter Ressourcenprotektorate bei denen 1/4 der Wirtschaftsleistung | sogenannter Ressourcenprotektorate, bei denen 1/4 der Wirtschaftsleistung | de/2574_ArtuDomaene
Im Lauf der folgenden zehn Jahren erreicht die Abgabenquote | Im Lauf der folgenden zehn Jahre erreicht die Abgabenquote | de/2574_ArtuDomaene
und einige Organisation wurde sehr mächtig | und einige Organisationen wurden sehr mächtig | de/2574_ArtuDomaene
zwischen Vertretern irdischen Völker in Kolkata | zwischen Vertretern irdischer Völker in Kolkata | de/2574_ArtuDomaene
den gleichen Wissenstand | den gleichen Wissensstand | de/2580_Teamspirit
Abstimmungsmeetings in denen Information übertragen wird | Abstimmungsmeetings, in denen Information übertragen wird | de/2580_Teamspirit
aus mehreren Informationenblöcken zusammensetzt von denen jeder einzelne | aus mehreren Informationsblöcken zusammensetzt, von denen jeder einzelne | de/2580_Teamspirit
Gedanken und Erlebnisse sind of fragmentarisch und irrational. | Gedanken und Erlebnisse sind oft fragmentarisch und irrational. | de/2580_Teamspirit
Hauptsitz der Art-Domäne im Solsystem | Hauptsitz der Artu-Domäne im Solsystem | de/2587_Alienkriege
Solaren Nachrichtenagenturen berichten ausführlich | Solare Nachrichtenagenturen berichten ausführlich | de/2587_Alienkriege
Man lässt sie gewähren solange sie sich unauffällig verhalten | Man lässt sie gewähren, solange sie sich unauffällig verhalten | de/2587_Alienkriege
Die Absicht unter dem Radar zu bleiben, ist der eigentliche Grund | Die Absicht, unter dem Radar zu bleiben, ist der eigentliche Grund | de/2587_Alienkriege
und man versteht nicht was vorgeht | und man versteht nicht, was vorgeht | de/2587_Alienkriege
Niemand weiß wann und wo Kämpfe der Aliens auftreten. | Niemand weiß, wann und wo Kämpfe der Aliens auftreten. | de/2587_Alienkriege
Kontakte zu Nachbarbarvölkern in der näheren | Kontakte zu Nachbarvölkern in der näheren | de/2591_Flottengesetz
dass in allen Systemen wo Menschen siedeln, wenigstens | dass in allen Systemen, wo Menschen siedeln, wenigstens | de/2591_Flottengesetz
programmierbaren Nanitenmatrix, die elektromagnetische Nahfelder projizieren. | programmierbaren Nanitenmatrix, die elektromagnetische Nahfelder projiziert. | de/2598_Der_Feldanzug_löst_konventione
gibt es sogar Schleusen bei denen sich eine Nanitenmatrix | gibt es sogar Schleusen, bei denen sich eine Nanitenmatrix | de/2598_Der_Feldanzug_löst_konventione
auf das Solsystem, beginnen die Kisor-Zwillinge | auf das Solsystem beginnen die Kisor-Zwillinge | de/2626_Sektorzentrum
beharrten auf der Einhaltung des Rechteverwaltung und auf Lizenzabgaben | beharrten auf der Einhaltung der Rechteverwaltung und auf Lizenzabgaben | de/2630_Chanakya
gab dies der Mengchu-Bewegung auftrieb | gab dies der Mengchu-Bewegung Auftrieb | de/2630_Chanakya
nach dem Ende das Systemkriegs 2570 | nach dem Ende des Systemkriegs 2570 | de/2630_Chanakya
in sich zusammen als die Isolation der Erde endete | in sich zusammen, als die Isolation der Erde endete | de/2630_Chanakya
Wir wissen nicht warum q3 sich im Solsystem so engagierte | Wir wissen nicht, warum q3 sich im Solsystem so engagierte | de/2630_Chanakya
riesige gasförmigen Wesen | riesige gasförmige Wesen | de/2638_Wotan
der moderate Teil Atmosphäre sehr tief | der moderate Teil der Atmosphäre sehr tief | de/2638_Wotan
Sie ist nur über die Folgen des Urteils betroffen ist. | Sie ist nur über die Folgen des Urteils betroffen. | de/2646_Handelsgericht
die die Kelrecs aus interianischen Depots geplünderten haben | die die Kelrecs aus interianischen Depots geplündert haben | de/2648_Interia
wussten schon, was sie tun als sie Abani | wussten schon, was sie tun, als sie Abani | de/2648_Interia
Die christliche Glaubenskongregation im Raum erkannt die unwahrscheinliche Rettung als Wunder an | Die christliche Glaubenskongregation im Raum erkennt die unwahrscheinliche Rettung als Wunder an | de/2650_Zellweger
T’k’t‘ca einer nahen Wasserstoff-Atmer-Zivilisation | T’k’t‘ca, einer nahen Wasserstoff-Atmer-Zivilisation | de/2659_Erster_Kontakt_mit_T’k’t‘ca_ei
sogenannten kleine Jupiter | sogenannte kleine Jupiter | de/2659_Erster_Kontakt_mit_T’k’t‘ca_ei
auf die sogenannten Grüne Wüste | auf die sogenannte Grüne Wüste | de/2670_Siedlungskonflikte
der einzigen für Menschen bewohnbaren Region | die einzige für Menschen bewohnbare Region | de/2670_Siedlungskonflikte
mit mindestens 30.000 Milliarden Bewohnern von denen 95% | mit mindestens 30.000 Milliarden Bewohnern, von denen 95% | de/2677_Mansalu
Deshalb ist es effizienter in extrasolaren Bibliotheken nach lohnenden Forschungszielen zu recherchieren | Deshalb ist es effizienter, in extrasolaren Bibliotheken nach lohnenden Forschungszielen zu recherchieren | de/2681_Solberg
Jetzt weiß man ungefähr wie lang Kelaner schon | Jetzt weiß man ungefähr, wie lang Kelaner schon | de/2681_Solberg
Die Roboter haben den Auftrag das Andenken ihrer Erbauer zu bewahren | Die Roboter haben den Auftrag, das Andenken ihrer Erbauer zu bewahren | de/2681_Solberg
öffnet vielen Menschen die Augen wie groß und vielfältig das Universum ist | öffnet vielen Menschen die Augen, wie groß und vielfältig das Universum ist | de/2681_Solberg
